iter	Passed	Remaining
0	57	57814
1	58	29063
2	58	19472
3	58	14685
4	59	11808
5	59	9886
6	60	8512
7	60	7479
8	60	6678
9	61	6041
10	61	5521
11	61	5084
12	62	4711
13	62	4395
14	62	4119
15	63	3877
16	63	3664
17	63	3474
18	64	3346
19	65	3192
20	65	3055
21	65	2930
22	66	2815
23	66	2708
24	67	2614
25	67	2524
26	67	2441
27	68	2363
28	68	2291
29	68	2223
30	69	2159
31	69	2100
32	69	2045
33	70	1992
34	70	1943
35	70	1900
36	71	1857
37	71	1815
38	72	1775
39	72	1738
40	72	1701
41	73	1666
42	73	1633
43	73	1601
44	74	1571
45	74	1542
46	74	1514
47	75	1488
48	75	1463
49	75	1438
50	76	1415
51	76	1392
52	76	1370
53	77	1349
54	77	1329
55	77	1310
56	78	1291
57	78	1273
58	78	1255
59	79	1238
60	79	1222
61	79	1206
62	80	1190
63	80	1177
64	80	1163
65	81	1149
66	81	1135
67	81	1122
68	82	1109
69	82	1096
70	82	1084
71	83	1072
72	83	1061
73	83	1050
74	84	1039
75	84	1028
76	84	1017
77	85	1007
78	85	998
79	85	988
80	86	978
81	86	969
82	86	958
83	87	949
84	87	940
85	87	932
86	88	924
87	88	916
88	88	908
89	89	901
90	89	893
91	89	885
92	90	879
93	90	872
94	90	865
95	91	859
96	91	852
97	91	846
98	92	839
99	92	833
100	92	827
101	93	821
102	93	815
103	93	809
104	94	803
105	94	798
106	95	793
107	95	788
108	95	782
109	96	777
110	96	771
111	96	766
112	97	761
113	97	756
114	97	751
115	97	746
116	98	741
117	98	737
118	99	732
119	99	728
120	99	724
121	99	718
122	100	715
123	100	710
124	100	706
125	101	702
126	101	698
127	101	694
128	102	690
129	102	686
130	102	682
131	103	678
132	103	674
133	103	671
134	104	667
135	104	663
136	104	660
137	105	656
138	105	653
139	105	649
140	106	647
141	106	642
142	106	639
143	107	636
144	107	633
145	107	630
146	108	627
147	108	624
148	108	621
149	109	618
150	109	615
151	109	612
152	110	610
153	110	607
154	110	604
155	111	601
156	111	598
157	111	595
158	112	593
159	112	590
160	112	587
161	113	584
162	113	582
163	113	579
164	114	577
165	114	574
166	114	572
167	115	569
168	115	567
169	115	564
170	116	562
171	116	560
172	116	557
173	117	555
174	117	553
175	117	551
176	118	548
177	118	546
178	118	544
179	119	542
180	119	540
181	119	538
182	120	536
183	120	534
184	120	532
185	121	530
186	121	528
187	121	526
188	122	524
189	122	522
190	122	520
191	123	518
192	123	516
193	123	514
194	124	512
195	124	511
196	124	509
197	125	507
198	125	505
199	125	503
200	126	501
201	126	499
202	126	498
203	127	496
204	127	494
205	127	492
206	128	491
207	128	489
208	128	487
209	129	486
210	129	484
211	129	483
212	130	481
213	130	479
214	131	478
215	131	476
216	131	475
217	131	473
218	132	471
219	132	470
220	132	468
221	133	467
222	133	465
223	134	464
224	134	462
225	134	461
226	134	459
227	135	458
228	135	456
229	136	455
230	136	454
231	136	453
232	137	451
233	137	450
234	137	449
235	138	447
236	138	446
237	138	444
238	139	443
239	139	441
240	139	440
241	140	439
242	140	437
243	140	436
244	141	435
245	141	433
246	141	432
247	142	431
248	142	429
249	142	428
250	143	427
251	143	426
252	143	424
253	144	423
254	144	422
255	144	421
256	145	420
257	145	418
258	146	417
259	146	416
260	146	415
261	147	414
262	147	413
263	147	412
264	148	410
265	148	409
266	148	408
267	149	407
268	149	406
269	149	405
270	150	404
271	150	403
272	151	402
273	151	400
274	151	399
275	151	398
276	152	399
277	153	398
278	153	397
279	153	395
280	154	395
281	154	393
282	155	392
283	155	391
284	155	390
285	156	389
286	156	388
287	156	387
288	157	386
289	157	385
290	157	384
291	158	383
292	158	382
293	158	381
294	159	380
295	159	379
296	160	378
297	160	378
298	160	377
299	161	375
300	161	374
301	161	373
302	162	372
303	162	371
304	162	370
305	163	369
306	163	368
307	163	367
308	164	366
309	164	365
310	164	364
311	165	363
312	165	363
313	165	362
314	166	361
315	166	360
316	166	359
317	167	358
318	167	357
319	167	356
320	168	355
321	168	354
322	168	353
323	169	352
324	169	352
325	169	351
326	170	350
327	170	349
328	170	348
329	171	347
330	171	346
331	171	345
332	172	344
333	172	344
334	172	343
335	173	342
336	173	341
337	173	340
338	174	339
339	174	338
340	174	337
341	175	336
342	175	336
343	175	335
344	176	334
345	176	333
346	176	332
347	177	332
348	177	331
349	177	330
350	178	329
351	178	328
352	178	327
353	179	327
354	179	326
355	179	325
356	180	324
357	180	323
358	180	322
359	181	322
360	181	321
361	181	320
362	182	319
363	182	319
364	182	318
365	183	317
366	183	316
367	183	315
368	184	315
369	184	314
370	185	313
371	185	313
372	185	312
373	186	311
374	186	310
375	186	310
376	187	309
377	187	308
378	187	307
379	188	307
380	188	306
381	188	305
382	189	304
383	189	303
384	189	303
385	190	302
386	190	301
387	190	300
388	191	300
389	191	299
390	191	298
391	192	298
392	192	297
393	192	296
394	193	296
395	193	295
396	194	294
397	194	294
398	194	293
399	195	292
400	195	292
401	195	291
402	196	290
403	196	289
404	196	289
405	197	288
406	197	288
407	198	287
408	198	286
409	198	286
410	199	285
411	199	284
412	199	284
413	200	283
414	200	282
415	200	282
416	201	281
417	201	280
418	201	279
419	202	279
420	202	278
421	203	278
422	203	277
423	203	276
424	204	276
425	204	275
426	204	274
427	205	274
428	205	273
429	205	272
430	206	272
431	206	271
432	206	270
